Sample_ID,ploidy,ADAMTS8,AKT1,AKT2,APC,AR,AREnhancer,ARID1A,ARID2,ARID4A,ASXL2,ATM,ATR,AXIN1,AXIN2,AXL,BAG4,BLM,BRAF,BRCA1,BRCA2,BRIP1,BRPF1,CAV2,CCND1,CCNE1,CDC27,CDH1,CDK12,CDK13,CDK4,CDK6,CDK9,CDKN1B,CDKN2A,CDKN2B,CHD1,CHD3,CHD6,CHD7,CHEK2,CNOT3,COL15A1,COL5A1,COL5A3,CTDP1,CTNNB1,CUL3,DHX30,EHHADH,ELK4,ERCC2,ERF,ERG,ETS1,ETS2,ETV1,ETV3,ETV4,ETV5,ETV6,FANCA,FANCD2,FANCG,FER,FLI1,FOXA1,FOXA2,GEMIN5,GNAS,GPR19,HDAC4,HOXB13,HRAS,HSD3B1,IDH1,IGF2R,IL6ST,ITSN1,ITSN2,JADE2,JAK1,KDM6A,KEAP1,KMT2A,KMT2C,KMT2D,KRAS,LSAMP,MAP2K1,MAP2K4,MAP3K1,MATN4,MBD1,MED12,MET,MGA,MIPOL1,MIRLET7BHG,MLH1,MLH3,MRE11,MSH2,MSH3,MSH6,MTOR,MYBBP1A,MYC,MYCL,MYCN,NBN,NCOR1,NCOR2,NDST2,NF1,NKX2-1,NKX3-1,NOX3,PALB2,PAX6,PDS5A,PIK3CA,PIK3CB,PIK3R1,PIK3R2,PMS1,PMS2,POLG,PPL,PRKDC,PRPF8,PTEN,PTPRC,PTPRD,PYHIN1,RAD51B,RAD51D,RAF1,RAG1,RASA1,RB1,RNF31,RNF43,RPRD2,RSPO2,SAMD9,SEL1L3,SETD2,SETDB1,SF3B1,SH3RF1,SLC4A2,SMARCA1,SMARCAD1,SPATA18,SPEN,SPOP,SSR1,STAB2,TAF1L,TAP1,TBC1D2,TCERG1,TCF12,TMPRSS2,TP53,TRPM4,TSC1,TSC2,TTC28,U2AF1,UNC13D,USP28,USP7,WASF3,WRN,XPO1,ZBTB16,ZFHX3,ZFP36L1,ZFP36L2,ZMYM3,ZNF292,ZNRF3,RAD21,FOLH1
FHL0113,1,1.0,1.0,1.333,1.0,4.667,2.333,1.0,1.333,1.0,2.0,1.0,1.333,1.0,1.667,1.667,0.667,1.0,2.0,1.333,1.0,1.667,1.333,2.0,1.667,1.333,1.333,1.0,1.667,2.0,1.0,0.667,1.0,0.667,1.0,1.0,0.333,0.667,1.333,1.667,1.333,1.0,1.0,1.0,1.333,1.333,1.333,1.333,1.333,1.333,1.333,1.0,1.0,1.333,1.0,1.333,2.0,1.333,1.333,1.333,0.667,0.333,1.333,1.0,1.0,1.0,0.667,1.333,1.0,1.333,0.667,1.0,1.333,0.667,1.333,1.667,0.667,1.0,1.0,2.0,1.0,1.0,1.333,1.333,1.0,0.667,1.333,1.333,1.333,1.0,0.667,0.667,1.333,1.0,1.333,2.0,1.333,0.667,0.667,1.333,1.0,1.0,1.333,1.0,1.333,1.0,0.667,2.0,1.0,2.0,2.0,1.667,1.333,1.333,1.667,1.0,0.667,1.0,1.333,1.0,0.667,1.333,1.333,1.0,1.0,1.667,2.0,1.0,1.333,1.667,1.333,1.333,1.0,1.0,1.333,1.0,1.333,1.333,1.0,1.0,1.0,0.667,1.667,1.333,2.0,0.667,0.667,1.333,1.333,1.667,1.333,0.667,0.667,0.667,1.333,1.0,1.333,0.667,0.667,1.0,0.0,1.0,1.0,1.0,1.333,0.667,1.333,1.0,1.333,1.333,1.333,1.667,1.0,1.333,1.0,0.667,1.333,0.667,0.667,0.667,0.0,1.333,1.0,1.333,2.0,1.0
FHL0114,1,1.5,2.0,1.5,1.0,16.0,8.0,1.0,1.0,2.0,1.0,1.5,2.0,1.0,1.5,2.0,0.5,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.5,1.0,1.0,1.5,0.5,1.0,1.0,2.5,0.0,1.5,1.5,0.5,0.5,0.5,3.5,1.0,0.0,2.5,3.0,2.0,0.5,2.0,1.0,2.0,2.5,1.5,2.0,2.0,0.5,1.5,0.5,0.5,2.0,1.0,3.5,0.5,1.0,1.0,2.0,1.0,1.5,1.5,1.5,1.5,2.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.0,1.0,2.0,1.5,0.0,1.0,2.0,1.5,1.0,0.5,1.0,2.0,1.0,2.0,1.0,2.0,3.0,0.5,0.5,2.0,1.5,1.5,0.5,1.0,1.5,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.5,1.5,1.0,3.0,0.0,1.5,1.0,1.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.5,3.5,0.5,1.0,2.0,1.5,0.5,0.5,1.5,1.0,1.0,1.0,1.0,2.0,0.5,1.5,2.0,0.5,2.0,1.5,1.0,0.5,1.0,1.5,3.0,2.0,1.0,1.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.5,1.5,2.5,1.0
FHL0117,1,1.5,1.5,1.0,1.0,4.0,2.0,1.0,1.5,1.0,1.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,2.0,1.5,1.5,1.0,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.5,1.0,0.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.5,1.0,1.0,1.0,1.0,1.0,1.5,1.5,2.5,1.0,1.5,1.5,1.5,1.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,0.5,1.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.5,1.0,1.5,1.0
FHL0120,1,0.333,1.0,1.333,0.333,2.667,1.333,1.0,1.0,0.333,0.667,1.0,1.0,1.0,1.0,1.667,0.333,0.667,0.667,0.667,0.667,1.0,0.667,1.0,1.333,1.667,1.0,1.0,1.0,0.667,0.667,1.0,0.667,0.333,0.333,0.333,0.667,0.333,1.0,1.0,1.0,0.667,0.667,1.0,1.333,0.667,1.0,0.667,0.667,1.0,1.333,0.333,0.333,0.667,0.333,0.667,1.0,1.0,0.667,1.0,0.667,0.667,0.667,0.667,0.667,0.333,0.333,1.333,0.667,1.0,1.0,0.333,1.0,0.667,1.333,0.667,0.667,0.667,0.667,0.667,0.333,0.667,2.667,0.667,0.333,0.667,1.0,0.667,0.333,1.0,1.0,0.667,0.667,0.333,2.667,1.0,0.333,0.667,0.333,0.667,0.667,1.333,0.667,0.667,0.667,1.0,1.0,1.0,1.0,0.667,1.0,0.667,1.0,0.333,1.0,0.667,0.333,0.667,1.0,1.0,0.667,0.667,0.667,0.333,1.333,0.667,0.333,0.667,1.333,1.0,0.333,1.0,1.333,0.667,1.0,0.667,1.0,1.0,1.0,0.667,0.333,0.333,1.0,1.0,1.0,1.0,0.667,0.667,1.0,0.333,0.667,1.0,2.667,0.667,0.667,1.0,0.667,0.333,1.0,0.667,0.333,0.667,0.667,0.667,0.667,0.333,0.333,0.667,1.333,1.0,0.667,1.0,0.333,1.0,0.667,0.333,0.333,0.333,1.0,0.667,0.333,2.667,0.667,1.0,1.0,1.0
FHL0126,1,1.0,1.0,1.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,3.0,1.0,1.0,1.0,1.0
FHL0129,1,0.667,1.0,0.667,1.0,3.333,1.667,0.667,1.0,1.0,1.333,1.0,1.333,0.333,0.667,0.667,2.667,1.0,1.0,0.667,0.667,0.667,1.333,1.0,1.0,1.0,0.667,0.667,0.667,1.0,1.0,0.667,0.667,0.667,0.667,0.667,1.0,0.667,1.0,1.667,0.667,0.667,1.0,1.0,1.333,0.333,1.0,1.0,1.333,1.333,1.667,0.667,0.667,1.0,0.667,1.0,0.667,1.333,0.667,1.333,1.0,0.667,1.333,1.333,1.0,0.667,1.0,1.0,1.0,1.0,1.0,0.667,2.0,1.0,0.667,1.0,0.667,1.0,1.0,1.333,1.0,0.667,0.667,1.0,1.667,1.0,1.0,1.0,1.333,1.0,0.667,1.0,1.0,0.333,0.667,1.0,1.0,1.0,0.667,1.333,1.0,1.0,1.333,1.0,1.333,1.0,1.0,3.0,0.667,0.667,2.667,0.667,0.667,0.667,0.667,1.333,0.667,0.667,0.667,1.0,1.333,1.333,1.333,0.667,1.0,1.0,1.333,1.0,1.667,2.0,0.667,0.667,1.333,2.667,1.333,1.0,0.667,1.333,1.0,1.0,0.333,0.667,0.667,1.0,3.0,0.667,1.333,1.333,1.333,1.0,0.667,1.0,0.667,0.667,1.333,0.667,2.333,0.667,1.333,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.667,0.667,1.667,0.667,1.333,0.667,1.0,1.333,0.667,0.667,1.0,1.667,0.667,1.0,1.333,0.667,0.667,0.667,2.667,1.0
FHL0131,1,1.0,1.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,2.0,1.5,0.5,1.5,0.5,2.0,1.5,1.5,1.0,1.5,1.0,2.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,0.0,1.5,0.5,1.0,0.0,1.5,2.0,2.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5,1.5,1.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.5,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.5,1.5,1.0,1.5,1.0,0.5,1.0,0.5,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,0.5,1.5,1.0,1.0,2.0,1.5,1.0,1.5,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.5,0.5,1.5,1.0,1.0,1.0,1.5,1.5,1.5,1.0,1.0,0.5,1.0,0.5,1.5,1.0,0.5,1.0,1.0,1.5,2.0,1.0
FHL0136,1,1.333,0.667,1.0,1.333,6.0,3.0,0.333,0.667,0.667,1.0,0.667,1.333,1.0,1.333,1.333,3.333,0.667,0.667,1.333,1.0,1.333,0.667,0.667,0.667,1.333,1.0,1.0,1.0,1.333,1.333,0.667,1.333,0.667,1.0,1.0,1.333,1.0,1.333,1.333,0.667,1.333,1.667,2.0,1.333,1.0,0.333,1.0,1.0,1.333,1.333,1.333,1.333,0.667,1.333,0.667,1.0,1.667,1.333,1.333,0.667,0.667,1.333,0.0,1.333,1.333,1.333,1.0,1.333,0.667,0.667,0.667,1.0,1.333,1.333,1.0,0.667,1.0,0.667,1.333,1.333,0.667,1.333,1.0,0.667,0.667,1.0,0.667,1.333,1.0,1.0,0.333,1.0,0.0,1.333,0.667,0.667,1.0,1.0,0.667,1.0,1.333,1.0,1.333,1.0,1.0,1.333,2.0,0.667,1.333,1.667,1.0,1.333,0.333,1.333,1.0,1.0,0.667,1.333,1.333,0.667,1.333,1.0,1.333,1.0,1.0,0.667,1.0,1.0,1.333,0.667,0.667,1.333,1.0,1.667,1.0,1.333,1.0,1.333,1.333,0.333,0.667,1.0,3.0,2.0,0.667,0.667,0.667,3.0,0.333,1.0,1.0,1.333,1.0,1.333,0.667,0.667,1.0,1.333,1.0,0.667,1.333,1.333,0.667,0.667,1.333,0.667,1.333,1.333,0.667,1.0,1.333,0.667,1.0,1.0,1.333,0.667,0.333,0.667,0.0,0.0,1.333,0.667,0.667,1.667,1.333
FHL0137,1,1.0,1.333,2.333,1.0,5.333,2.667,1.0,1.333,1.333,1.0,1.0,1.333,1.0,1.0,1.0,1.333,0.667,2.333,1.0,1.333,1.0,1.333,2.0,1.333,1.0,1.0,1.0,1.0,0.667,1.333,1.0,1.0,0.667,1.0,1.0,0.667,0.667,1.333,1.667,1.0,0.333,1.0,1.0,0.667,1.0,1.333,1.0,1.333,1.333,1.0,1.333,1.0,1.0,1.0,1.0,0.667,0.667,1.333,1.667,1.333,1.0,1.333,2.0,1.0,1.0,1.0,1.0,1.0,1.333,1.333,0.667,1.0,1.0,1.0,1.0,0.667,1.0,1.0,1.0,1.0,1.0,1.333,0.667,1.0,2.0,1.333,1.0,1.333,0.667,0.667,1.0,1.333,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.333,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.333,0.667,1.333,2.667,1.0,1.0,0.333,0.667,4.0,1.0,1.0,1.0,1.333,0.667,1.0,0.667,0.667,1.0,1.0,1.667,1.0,1.333,1.0,0.333,1.0,1.0,1.0,1.333,1.0,1.0,0.333,1.0,1.0,1.0,2.333,1.0,1.0,1.333,1.0,1.0,1.0,1.333,0.667,1.0,1.0,1.0,1.0,1.0,1.333,2.0,0.667,1.0,1.0,0.667,1.0,0.667,1.333,1.0,1.0,1.0,1.0,0.667,1.0,1.667,0.667,1.333,1.0,0.667,1.0,1.0,0.0,2.0,0.667,1.0,2.333,1.0
FHL0142,1,1.0,1.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.5,1.5,0.5,2.0,1.0,1.0,1.0,1.0,1.5,0.5,1.0,1.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.5,1.0,1.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.0,0.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.5
FHL0164,1,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,2.0,0.5,1.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,1.0
FHL0166,1,1.0,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,0.5,1.5,1.0,1.0,1.5,1.0,2.0,1.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.5,1.5,0.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.5,1.5,0.5,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.5,1.0,1.0,1.0,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.5,1.0,0.5,1.0,0.5,1.0,1.0,1.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,1.5,1.5,2.0,1.0,1.5,0.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,0.5,0.5,1.0,1.0,2.0,1.5,1.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.5,1.0,0.5,1.5,2.0,1.0,1.0,0.5,1.5,1.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.5,1.0,2.0,1.0
FHL0167,1,1.0,1.0,1.0,1.0,3.0,1.5,0.5,1.5,1.0,0.5,1.0,1.0,1.0,1.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,0.5,1.0,1.5,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.0,0.0,1.0,0.5,1.0,0.5,1.0
FHL0169,1,1.333,1.333,1.333,1.0,4.667,2.333,0.333,1.333,0.333,0.667,1.0,1.0,1.0,1.667,1.667,0.333,0.333,1.333,1.333,0.667,1.667,1.333,1.333,2.0,1.333,1.333,0.667,1.667,0.667,1.333,1.333,2.0,0.333,0.667,0.667,0.333,0.667,1.0,2.333,0.667,1.333,2.333,1.333,1.333,0.333,1.0,1.0,1.0,1.0,0.667,1.0,1.333,1.0,1.333,0.333,0.667,1.333,1.667,1.0,1.333,0.667,1.333,0.0,1.0,1.0,1.0,1.333,1.0,1.0,0.333,1.0,1.667,0.333,1.0,1.0,0.333,0.333,1.0,0.667,0.667,1.0,1.333,0.667,1.333,1.333,1.333,1.333,1.0,0.667,0.667,0.333,1.0,0.333,1.333,1.333,0.667,1.0,0.0,1.0,0.667,1.0,0.667,0.667,0.667,1.0,1.0,2.667,0.667,1.0,2.667,0.667,0.667,1.333,1.333,1.0,0.667,0.667,1.0,0.667,1.0,1.0,1.333,0.333,0.667,0.667,0.667,0.333,1.0,2.667,0.333,0.333,0.667,0.667,1.333,0.667,1.333,1.0,0.333,0.333,0.333,0.667,1.333,2.0,2.667,1.333,2.0,0.667,2.0,0.667,0.667,1.333,2.0,0.667,1.0,0.333,1.333,0.333,1.333,0.333,0.333,2.333,1.0,0.667,1.0,0.333,1.667,1.0,1.0,0.667,1.0,1.333,0.667,1.0,0.333,0.667,0.333,0.667,0.667,0.667,0.0,1.333,0.333,0.667,2.667,0.667
